track_id,album_name,album_id,album_release_date,album_total_tracks,artist_name,artist_id,track_duration,track_name,explicit,track_popularity,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,acousticness,liveness,valence,tempo,time_signature,genre_name,country
2GMSzm2ZRK4aZSVEhd1LM2,Søndermarken (Video Edit),3K2dpXIQseN96P9cRJLonX,2020-05-22,1,Henrik Lindstrand,1jdUu8RsoIhTGLeJvzoACP,250263,Søndermarken - Video Edit,0,31,2GMSzm2ZRK4aZSVEhd1LM2,0.484,0.212,9,-20.878,1,0.0319,0.934,0.982,0.13,0.416,152.0,4,Neo-Classical,
5if1vlzBKrpoE1hZ6bxw2C,For You (LP),3HaUzrq7HVsuVTmIIcsZ8n,1982,7,Ago,3tr79XZgYXoRoI5G49Zqbx,353000,For You - Original Album,0,29,5if1vlzBKrpoE1hZ6bxw2C,0.936,0.564,0,-5.902,1,0.0471,0.0247,0.0452,0.0377,0.921,125.996,4,Deep Dubstep,
3qt2gYMB8Dvi8HyI8HnrIc,Astronauta Tupy,5A1APi1ostoCgL4DgNwHU7,1997,13,Pedro Luis E A Parede,0gr5W0V12A1QsoG9lRdfQT,238933,Tudo vale a pena,0,25,3qt2gYMB8Dvi8HyI8HnrIc,0.778,0.66,9,-6.225,1,0.0765,1.49e-05,0.36,0.195,0.862,145.974,4,"Brazilian Indie,Manguebeat",Brazil
0bEFAW0Z0KnXN8h8Uj03fh,The Garbageman and The Prostitute,2JwQqZGsKQ7ObpWZAjSkRz,2003-02-23,13,Kill Me Tomorrow,1T6PU72sainrHZrBvXvzUU,188320,Xerox My Hand,0,1,0bEFAW0Z0KnXN8h8Uj03fh,0.27,0.918,5,-6.009,1,0.19,0.779,0.000753,0.111,0.345,120.525,1,Experimental Indie Rock,
4nHidfBAEfDpirZEnjfjoH,Evergreen,1LoSQuLwLBgbxO6mDk7lyY,2020-05-01,9,Bin Juice,5TkLV3WJXfWXXbG2Ka0bqa,216042,Evergreen,0,10,4nHidfBAEfDpirZEnjfjoH,0.578,0.428,7,-10.803,0,0.0313,0.828,0.374,0.107,0.0466,121.913,4,Sydney Indie,Australia
0fXWL26DhDDFRFQK0Y4RX7,Tomorrow May Be Vanished,575ox0MaU9ogzw1ZyZhTO3,1990-01-01,10,Prudence,46Yft7aKaVVOyuSvu2Fyka,261839,14 Pages,0,16,0fXWL26DhDDFRFQK0Y4RX7,0.373,0.755,8,-11.4,1,0.095,4.98e-06,0.00945,0.265,0.658,143.047,4,"Norwegian Prog,Norwegian Rock",Norway
1gZdKNCvHIZPIpXqpQ2HXP,No Surprise,7IR0jk0dmFBbsCWdU8DGEv,2020-11-20,1,Mariel Buckley,7lghcHbrdt7sqHWeya15aV,245125,No Surprise,0,20,1gZdKNCvHIZPIpXqpQ2HXP,0.639,0.542,10,-5.426,1,0.0312,2.63e-05,0.485,0.0971,0.727,115.505,4,"Calgary Indie,Canadian Singer-Songwriter",Canada
1jRlk53cNrOoRmWWHldSX0,The Orphic Rite of the Cult of Sedna,4szdinhSOhQ01qKa8xxbxo,2020-06-05,10,Lazuli Vane,67T9KadC0xMwVN0iwsG8hi,310391,Lydia Lane,0,9,1jRlk53cNrOoRmWWHldSX0,0.566,0.291,7,-17.281,0,0.0955,0.0277,0.124,0.264,0.561,122.824,4,Atlanta Indie,United States
1kVYXfxTWSftIZtmYr6yH8,Coming In Hot,2osaP8edSKG8bVFKBoWIcV,2018-07-20,1,Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw,200168,Coming In Hot,0,62,1kVYXfxTWSftIZtmYr6yH8,0.889,0.453,8,-8.782,1,0.261,4.75e-06,0.0274,0.156,0.428,140.025,4,"Christian Hip Hop,Christian Trap",
6KJ8HGyK74nPP621nAwUiy,"Kapsberger, G.: Lute Music",1GvWxTapGOj7zPMvyRey1c,2000-01-01,24,Giovanni Girolamo Kapsberger,3j1vfGPWtqgWj28ED2puXs,160173,Libro I d'intavolatura di lauto: Toccata No. 7,0,26,6KJ8HGyK74nPP621nAwUiy,0.473,0.0685,4,-24.65,1,0.0734,0.866,0.994,0.0898,0.441,107.031,4,Historically Informed Performance,
