track_id,album_name,album_id,album_release_date,album_total_tracks,artist_name,artist_id,track_duration,track_name,explicit,track_popularity,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,acousticness,liveness,valence,tempo,time_signature,genre_name,country
2anLSOW0qJmimTA9jWBq90,Robert Johnson,2VLyGJRNoG7YBWxI0YwvBp,2020-02-09,12,Fínix MG,7dwz1nJE4Twe22y0rnYg8u,202237,Designer,0,19,2anLSOW0qJmimTA9jWBq90,0.788,0.391,5,-11.753,0,0.148,0.0,0.484,0.113,0.289,142.927,4,"Hip Hop Tuga,Trap Tuga",Portugal
6TyXeawZxBzMUq193xscwA,Kala Masala,03ngoHK2SdFBJYYOt0qVgj,2020-12-10,1,Sahir,4mVLU0C7PoQ6ETixTAQuuK,170000,Kala Masala,1,5,6TyXeawZxBzMUq193xscwA,0.842,0.478,7,-10.994,0,0.0993,0.0,0.344,0.277,0.821,106.968,4,Indian Lo-Fi,India
6dDBOwTKKP1VwLrlmC2UJa,Timeless Love,5UHUwIBrJmJ5d3v5JXx8xv,2019-04-19,10,Love Hits On Piano,3SqFKLb3ZxX0Go00GTxyDk,227841,Nothing's Gonna Change My Love for You,0,15,6dDBOwTKKP1VwLrlmC2UJa,0.6,0.257,1,-19.701,1,0.0526,0.884,0.983,0.101,0.354,131.813,4,Piano Cover,
1Qpdc3wbQfN44u8Nl0LNPm,The Answer To Your Problems?,3JUBa8LG4oXl4jYMS999pu,1999-07-20,14,Marky Ramone & the Intruders,5ntwsJC7BTKt9C1V1cqPp3,191333,One Way Ride,0,4,1Qpdc3wbQfN44u8Nl0LNPm,0.447,0.921,9,-5.606,1,0.101,0.0,0.00752,0.167,0.544,90.521,4,Neo-Proto,
7EtQeUXeYIhMBbV7uO7SKQ,Manic,1587SsN7jbo0X2YJ6w4jaZ,2016-02-26,12,Knockout Kid,66wNfsUB8ky8Ryj5a2OQvF,201012,"Going, Going, Gone",1,20,7EtQeUXeYIhMBbV7uO7SKQ,0.536,0.983,2,-3.352,1,0.168,4.68e-05,0.00652,0.316,0.438,133.979,4,"Anthem Emo,Easycore",
02f1uyB4lalmf0FZoTj6Q8,In Time,2tFDllw8izTFQl3JbNNEAk,2016-06-27,5,Jesus Raves,6QBG25enNrbpv7OgPVBVBw,377310,институт за јебем ти мајку и дете - Kopophobia Remix,0,20,02f1uyB4lalmf0FZoTj6Q8,0.455,0.97,6,-6.275,1,0.057,0.939,6.27e-05,0.385,0.525,107.458,4,"Dark Psytrance,Deep Darkpsy,Hi-Tech",
10M9FxbQbDScPqtqmb7vfq,Han har ett sätt (Så mycket bättre 2020),6LjEhRgXP5brsmTSJZoMFV,2020-12-05,1,Helen Sjöholm,6M5pgjMS5dVG0hGRh5xADx,179062,Han har ett sätt - Så mycket bättre 2020,0,52,10M9FxbQbDScPqtqmb7vfq,0.553,0.529,11,-5.311,0,0.0622,0.0,0.513,0.0615,0.26,81.206,3,"Classic Swedish Pop,Swedish Pop",Sweden
6ZUDyrx0TAi15FJnThmbhi,La Cumbia de la Base,4k5G3mwdRdRXrNrBOMX6Pc,2011-12-01,1,Los Ninos Del Campo,4wCZwDdmAinASnMWnuwla7,177306,La Cumbia de la Base,1,33,6ZUDyrx0TAi15FJnThmbhi,0.797,0.753,7,-5.873,1,0.192,0.0,0.217,0.0682,0.792,90.005,4,Nu-Cumbia,
3ZHHMLDa8bRZqI4GfQG2H5,New World Dub 02,4e8nyqJnk9ojQg4K0VcvyT,2006-08-08,10,Suns Of Arqa,2AbwEz8wDViTexXItANuVa,230173,Cosmic Jugalbandi 11,0,3,3ZHHMLDa8bRZqI4GfQG2H5,0.632,0.351,11,-12.151,1,0.0388,0.565,0.208,0.0826,0.379,120.117,4,Psychill,
6HAmuPSRU70gjQt70p6AIe,Don't Look Back,2dIaVPQ71qv2XZ6tdqukjW,2005-01-01,12,Kiskadee,0OFgb3mkihHCVGhnTGrJ3c,262636,Gimme One World,0,1,6HAmuPSRU70gjQt70p6AIe,0.774,0.757,7,-7.747,1,0.0651,6.8e-06,0.0205,0.0476,0.827,105.003,4,Bahá'í,
